,Property,count
0,Central Park,13
1,Prospect Park,10
2,Kissena Park,3
3,Van Cortlandt Park,3
4,Morningside Park,3
5,Alley Pond Park,3
6,Baisley Pond Park,2
7,Flushing Meadows Corona Park,2
8,Reed's Basket Willow Swamp Park,1
9,Leif Ericson Park,1
10,Crocheron Park,1
11,Shore Road Park,1
12,Wolfe's Pond Park,1
13,Irving Square Park,1
14,LaTourette Park & Golf Course,1
15,Bowne Park,1
16,Marine Park,1
17,Sheepshead Bay Piers,1
18,Powell's Cove Park,1
19,Lew Fidler Park,1
20,Lemon Creek Park,1
21,Rainey Park,1
22,Highland Park,1
23,Forest Park,1
24,Seguine Mansion,1
25,Bayswater Park,1
26,St. Mary's Park,1
27,Pelham Bay Park,1
28,Tucker Place,1
29,Fort Tryon Park,1
30,Yellowstone Park,1
